Title,Organization,Skills,Difficulty,Type,Duration,Ratings,reviews,enrolled,url,alive
"Influencing: Storytelling, Change Management and Governance",Macquarie University,"Leadership and Management, Communication, Business Psychology, Strategy and Operations, Change Management, Conflict Management, Influencing, Organizational Development, Risk Management, Marketing, Negotiation, Sales, Critical Thinking, Decision Making, Entrepreneurship, Human Resources, Probability & Statistics, Business Communication, Employee Relations, Business Process Management, Innovation, People Management, Regulations and Compliance, Storytelling",Beginner,Specialization,3 - 6 Months,4.8,3.6K,"30,414",https://www.coursera.org/specializations/influencing-storytelling-change-management,True
"Assets, Threats, and Vulnerabilities",Google,"Cryptography, Linux",Beginner,Course,1 - 4 Weeks,4.8,1.3K,"37,403",https://www.coursera.org/learn/assets-threats-and-vulnerabilities,True
Genomic Data Science,Johns Hopkins University,"Bioinformatics, Computer Programming, Data Analysis, Python Programming, Computational Thinking, General Statistics, Exploratory Data Analysis, R Programming, Data Analysis Software, Algorithms, Computer Programming Tools, Biostatistics, Statistical Analysis, Programming Principles, Probability & Statistics, Statistical Tests, Data Structures, Operating Systems, Research and Design, Big Data, Computational Logic, Problem Solving, Statistical Programming, Experiment, Correlation And Dependence",Intermediate,Specialization,3 - 6 Months,4.5,6.2K,"36,982",https://www.coursera.org/specializations/genomic-data-science,True
The Business of Health Care,University of Pennsylvania,"Leadership and Management, Finance, Decision Making, Performance Management, Strategy and Operations, Operations Management, Business Analysis, Financial Analysis, Financial Management, Business Psychology, Accounting, Accounts Payable and Receivable, Financial Accounting, General Accounting, Management Accounting, People Management, People Analysis, Strategy, Business Process Management, Innovation, Leadership Development, Payments, Behavioral Economics, Problem Solving, Compensation, Correlation And Dependence, Insurance Sales, Research and Design, Risk Management",Beginner,Specialization,3 - 6 Months,4.6,1.8K,"18,237",https://www.coursera.org/specializations/healthcare-administration-management,True
Diseño de Experiencia del Usuario (UX) de Google,Google,"User Experience, User Experience Design, Research and Design, Visual Design, Communication, Design and Product, Persona Research, Product Design, User Research, Adaptability, Graphic Design, Collaboration, Leadership and Management, Mobile Development, Planning, Web Design, Audit",Beginner,Professional Certificate,3 - 6 Months,4.8,3.5K,"6,420",https://www.coursera.org/professional-certificates/diseno-de-experiencia-del-usuario-ux-de-google,True
Organizational Analysis,Stanford University,"Leadership and Management, Organizational Development, Strategy, Strategy and Operations, Decision Making, Business Psychology, Change Management, Culture, Business Analysis, Business Process Management",Beginner,Course,1 - 3 Months,4.6,1.4K,"12,067",https://www.coursera.org/learn/organizational-analysis,True
Six Sigma Yellow Belt,University System of Georgia,"Process Analysis, Strategy and Operations, Leadership and Management, Data Analysis, Business Analysis, Business Process Management, Performance Management, Probability & Statistics, Operational Analysis, Organizational Development, Problem Solving, Project Management, General Statistics, Planning, Statistical Analysis, Statistical Tests, Critical Thinking, Basic Descriptive Statistics, Operations Management, Statistical Visualization, Correlation And Dependence, Customer Relationship Management, Probability Distribution, Collaboration, Entrepreneurship, Business Psychology, Communication",Beginner,Specialization,3 - 6 Months,4.6,9K,"100,147",https://www.coursera.org/specializations/six-sigma-fundamentals,True
Analyze Data to Answer Questions,Google,"Data Analysis, Data Management, Microsoft Excel, SQL, Spreadsheet Software",Beginner,Course,1 - 4 Weeks,4.6,9.9K,"6,911",https://www.coursera.org/learn/analyze-data,True
Strategic Leadership and Management,University of Illinois at Urbana-Champaign,"Leadership and Management, Strategy and Operations, Strategy, Leadership Development, Decision Making, Entrepreneurship, Organizational Development, Business Analysis, Business Process Management, Change Management, Business Design, Business Development, Business Transformation, Critical Thinking, Culture, Performance Management, Problem Solving, Operations Management, Human Resources, Marketing, Operational Analysis, Sales, Adaptability, Conflict Management, Influencing, Negotiation, Business Psychology, Research and Design",Beginner,Specialization,3 - 6 Months,4.8,8.8K,"108,408",https://www.coursera.org/specializations/strategic-leadership,True
Machine Learning on Google Cloud,Google Cloud,"Machine Learning, Applied Machine Learning, Google Cloud Platform, Human Learning, Machine Learning Software, Cloud Computing, Machine Learning Algorithms, Deep Learning, Cloud Platforms, Artificial Neural Networks, Feature Engineering, Exploratory Data Analysis, Tensorflow, Python Programming, Data Analysis, Data Visualization, Probability & Statistics, Regression, Statistical Programming, Statistical Visualization, Algorithms, SQL, Cloud API, Apache, Extract, Transform, Load",Intermediate,Specialization,3 - 6 Months,4.5,9.6K,"90,040",https://www.coursera.org/specializations/machine-learning-tensorflow-gcp,True
Human Resource Management: HR for People Managers,University of Minnesota,"Human Resources, Human Resources Operations, Employee Relations, Strategy and Operations, People Management, Leadership and Management, Communication, Strategy, Compensation, People Development, Performance Management, Organizational Development, Planning, Professional Development, Recruitment, Business Psychology, People Analysis, Visualization (Computer Graphics), Benefits, Business Analysis, Culture",Beginner,Specialization,3 - 6 Months,4.8,14K,"174,464",https://www.coursera.org/specializations/human-resource-management,True
U.S. Federal Taxation,University of Illinois at Urbana-Champaign,"Taxes, Accounting, Financial Accounting, Finance, Critical Thinking, General Accounting, Regulations and Compliance, Financial Analysis, Corporate Accouting, Generally Accepted Accounting Principles (GAAP), Problem Solving, Benefits",Intermediate,Specialization,3 - 6 Months,4.8,831,"15,895",https://www.coursera.org/specializations/united-states-federal-taxation,True
Algorithms for Battery Management Systems,University of Colorado Boulder,"Estimation, Mathematics, Algorithms, Probability & Statistics, Mathematical Theory & Analysis, Systems Design, Research and Design, General Statistics, Critical Thinking, Computer Programming, Algebra, Product Design, Correlation And Dependence, Design and Product, Linear Algebra, Problem Solving, Process Analysis, Computer Programming Tools, Data Model, Material Handling, Leadership and Management, Probability Distribution, Product Lifecycle, Regression",Intermediate,Specialization,3 - 6 Months,4.7,2.4K,"21,805",https://www.coursera.org/specializations/algorithms-for-battery-management-systems,True
Google Project Management,Google,"Leadership and Management, Planning, Communication, Strategy, Strategy and Operations, Business Analysis, Business Development, Business Psychology, Collaboration, Decision Making, Design and Product, Data Analysis, Entrepreneurship, Business Communication, Conflict Management, Emotional Intelligence, People Management, C++ Programming, People Analysis, Critical Thinking, Network Security, Adaptability, Organizational Development, Project Management, Culture",Beginner,Professional Certificate,3 - 6 Months,4.6,174,"26,993",https://www.coursera.org/professional-certificates/gestion-de-projet-google,True
Fundamentals of Project Planning and Management,University of Virginia,"Project Management, Strategy and Operations, Leadership and Management, Planning",Beginner,Course,1 - 4 Weeks,4.7,9.5K,"334,604",https://www.coursera.org/learn/uva-darden-project-management,True
Medical Billing and Coding Fundamentals,MedCerts,"Communication, Critical Thinking, Leadership and Management",Beginner,Specialization,3 - 6 Months,4.8,254,"5,094",https://www.coursera.org/specializations/medical-billing-coding-fundamentals,True
"Product Ideation, Design, and Management","University of Maryland, College Park","Leadership and Management, Design and Product, Strategy and Operations, Product Management, Entrepreneurship, Product Development, Strategy, Product Design, Marketing, Product Strategy, Research and Design, Market Research, Market Analysis, Product Marketing, Finance, Sales, Investment Management, Planning, Project Management, Financial Analysis, Financial Management, Business Psychology, Budget Management, Entrepreneurial Finance, Software Engineering Tools, Innovation",Beginner,Specialization,3 - 6 Months,4.5,492,"13,644",https://www.coursera.org/specializations/product-ideation-design-and-management,True
Global Procurement and Sourcing,Rutgers the State University of New Jersey,"Procurement, Customer Relationship Management, Leadership and Management, Negotiation, Supplier Relationship Management",Beginner,Specialization,3 - 6 Months,4.7,1.9K,"76,360",https://www.coursera.org/specializations/procurement-sourcing,True
Sound the Alarm: Detection and Response,Google,"Linux, Network Security, Computer Security Incident Management, Leadership and Management",Beginner,Course,1 - 4 Weeks,4.8,946,"57,310",https://www.coursera.org/learn/detection-and-response,True
